artist,id,lyrics
Half Girlfriend,2,"I search for myself
in your face.
between my eyes,
you are there in such a way,
that there is no place for even dreams.

this rain of this weather,
this rain-water,
these drops of water,
they look for you only.
this wish to meet,
this old with,
with you only, this story of mine
gets completed.

if I get to descend through you,
I'd pass through your breaths,
then, my heart will be at peace.

I'm without a shelter,
I have to find a refuge
in you, allow me.
there is nobody between us,
only the two of us are there,
then why are there distances,
tell me.
I ask the winds
for your address,
now come, from somewhere.
like birds,
this heart is travelling,
make it meet life.
I have just this one request,
once come and know
what this heart has said."
Kabir Singh,7,"Even when I'm not thinking, I think of you.
Why must we separate, this thought troubles me.
The joy of your closeness was unlimited,
even the distances from you turned out to be unprecedented.

now that I'm far from you,
why should I stay away?
I'm your pride,
come, end this distance between us.
you met me like some dream.
Why should I break this dream?

Even when I'm not thinking, I think of you.
Why you gave me the pain of separation, this question comes up.
I got a little angry with myself,
I am a little upset with you for no reason too.

The torture, the trouble is —
how do I live without you?
I have a problem with everyone,
why do they try to become my gods.

These people around me,
they are a forest fire.
Why should I burn in this fire?
They are failures in love,
happy in their loss.
Why should I become like them?

Nights will tell,
In sleeps, I think of you alone.
How do I forget you,
You're with me in my thoughts.

Even when I'm not thinking, I think of you.
Why must we separate, this thought troubles me.

Every scenery is melting like sand
in front of my eyes.
your pain is going down into my body
like some poison.

Come, O world, try me, I don't get upset.
This courage isn't affected by separation.
Neither did she become unfaithful, nor am I one.
She isn't something that can be changed, just like my habits."
Kabir Singh,8,"My eyes are saying what’s there in my heart
I swear that I’m saying the truth

I won’t take a single breath without you
I’ve started to love you a lot
I won’t take a single breath without you
I’ve started to love you a lot
I’ll die along with you
I’ve started to love you a lot

My eyes are saying what’s there in my heart
I swear that I’m saying the truth

I won’t take a single breath without you
I’ve started to love you a lot
I’ll die along with you
I’ve started to love you a lot
I’ve started to love you a lot

Now my desires for you have reached to such an extent
That I’ll snatch you from this world
I have the right to your love
I’ve even declared this to my god
I won’t step on the path where I won’t find you

I won’t take a single breath without you
I’ve started to love you a lot
I’ll die along with you
I’ve started to love you a lot
I’ve started to love you a lot
O o o … o o o … o o o
O o o … o o o … o o o
I’ve started to love you a lot"
A Sky Full of Stars,12,"'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you
'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh, oh-oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in sky full of stars
I think I see you
I think I see you
'Cause you're a sky, you're a sky full of stars
Such a heavenly view
You're such a heavenly view
Yeah, yeah, yeah, ooh"
The Ocean,13,"You can be my guiding light
Keep me
Company in the night
That's all I need
All I want
Is for you to stay a little longer now
With arms around me
Like a border
Like the air I breathe
I let you in
Keep me warm underneath my skin
'Cause I'm
Giving in
To your touch
I can never get enough
Dive in deep
Into your ocean
Ocean
Ocean
Ocean
You can be my safety zone
Somewhere
I can go and feel unknown
That's all I need
All I want
Is to stay a little longer now
Arms around me like a border
Like an endless stream
You take me in
To a place that I've never been
Now I'm
Giving in to your touch
I will never get enough
Dive in deep into your ocean
Ocean
Ocean
Ocean"
Encore,14,"I used to believe
We were burning on the edge of something beautiful
Something beautiful
Selling a dream
Smoke and mirrors keep us waiting on a miracle
On a miracle
Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
(Oh, baby, baby)
Don't fall asleep
At the wheel, we've got a million miles ahead of us
Miles ahead of us
All that we need
Is a rude awakening to know we're good enough (yeah)
Know we're good enough
Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
(Oh, baby, baby)
Whoa
(Girl, never let you go) Wooh
Oh, nah-nah-nah-nah
(Never let you go)
Yeah, yeah (girl, never let you go)
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you"
Thing For You,16,"Oh-oh, ooh
You've been runnin' 'round, runnin' 'round, runnin' 'round throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up
You've been going 'round, going 'round, going 'round every party in L.A.
'Cause you knew that I, knew that I, knew that I'd be at one, oh
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine, oh
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you
you've been runnin' 'round, runnin' 'round, runnin' 'round throwing that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up
Baby, now that we're, now that we're, now that we're right here standing face-to-face
You already know, already know, already know that you won, oh
I know that dress is karma (dress is karma), perfume regret
You got me thinking 'bout when you were mine (you got me thinking 'bout when you were mine)
And now I'm all up on ya (all up on ya), what you expect? (oh baby)
But you're not coming home with me tonight (oh no)
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you, oh
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you (over you)
What are you doin' to me? (hey) what are you doin', huh? (what are you doin', what?)
What are you doin', huh? (what are you doin' to me?)
(What are you doin', huh?) (yeah, you just want attention)
What are you doin' to me, what are you doin', huh? (I knew from the start)
(You're just making sure I'm never gettin' over you) what are you doin' to me, what are you doin', huh?
Oh, oh"
Red Pill Blues,17,"Spent 24 hours, I need more hours with you
You spent the weekend getting even, ooh
We spent the late nights making things right between us
But now it's all good, babe
Roll that back wood, babe
And play me close
'Cause girls like you run 'round with guys like me
'Til sun down when I come through
I need a girl like you, yeah yeah
Girls like you love fun and, yeah, me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you
I spent last night on the last flight to you (ey ya)
Took a whole day up trying to get way up, ooh
We spent the daylight trying to make things right between us
But now it's all good, babe
Roll that back wood, babe
And play me close, yeah
'Cause girls like you run 'round with guys like me
'Til sun down when I come through
I need a girl like you, yeah yeah
Girls like you love fun and, yeah, me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you, yeah yeah
I need a girl like you, yeah yeah
I need a girl like you
Maybe it's 6:45
Maybe I'm barely alive
Maybe you've taken my shit for the last time, yeah
Maybe I know that I'm drunk
Maybe I know you're the one
Maybe you thinking it's better if you drive
Oh, 'cause girls like you run 'round with guys like me
'Til sun down when I come through
I need a girl like you, yeah
'Cause girls like you run 'round with guys like me
'Til sun down when I come through
I need a girl like you, yeah yeah
Girls like you love fun and, yeah, me too
What I want when I come through
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you, yeah yeah
Yeah yeah yeah, yeah yeah yeah
I need a girl like you"
lsdc,18,"I wake up to the sounds of the silence that allows
For my mind to run around with my ear up to the ground
I'm searching to behold the stories that are told
When my back is to the world that was smiling when I turned
Tell you you're the greatest
But once you turn, they hate us
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
(Look out for yourself)
My enemy (look, look, look, look)
(Look out for yourself)
But I'm ready
Your words up on the wall as you're praying for my fall
And the laughter in the halls and the names that I've been called
I stack it in my mind and I'm waiting for the time
When I show you what it's like to be words spit in a mic
Tell you you're the greatest
But once you turn, they hate us (huh)
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy (look, look, look, look)
(Look out for yourself)
My enemy (look, look, look, look)
(Look out for yourself)
Uh, look
Okay, I'm hoping that somebody pray for me
I'm praying that somebody hope for me
I'm staying where nobody 'posed to be
P-P-Posted, being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em hasta luego
They wanna plot on my trot to the top
I've been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc on an opposition
Kinda shocking they wanted static with precision, I'm automatic
Quarterback, I ain't talkin' sacking
Pack it, pack it up, I don't panic
Batter, batter up, who the baddest
It don't matter 'cause we at your throat
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
Pray it away, I swear
I'll never be a saint, no way
My enemy
Pray it away, I swear
I'll never be a saint"
Bro Daddy,21,"Walking in silently, you brought color into my life.
You have engulfed my heart as my better half.
O’ full moon, as the fog clears, descend upon this earth.
O’ golden moon that covers my throbbing heart, please come.
Let’s fly all over the heaven that we’ve built for ourselves.
You fill up all my thoughts, morning noon and night, forever.
My heart keeps skipping a beat when I see your face every morning.
O’ full moon, as the fog clears, descend upon this earth.
O’ golden moon that covers my throbbing heart, please come.
Let’s fly all over the heaven that we’ve built for ourselves.
My life has gradually blended into yours.
Haven’t we become so close that we can never part ways
We do not need words to understand each other.
Even our eyes speak to each other with a smile today.
I have preserved a thousand desires for you.

O’ golden moon that covers my throbbing heart, please come.
Let’s fly all over the heaven that we’ve built for ourselves.
You fill up all my thoughts, morning noon and night, forever.
My heart keeps skipping a beat when I see your face every morning.
O’ full moon, as the fog clears, descend upon this earth.
O’ golden moon that covers my throbbing heart, please come.
Let’s fly all over the heaven that we’ve built for ourselves."
